import time: self [us] | cumulative | imported package
import time:      1012 |       1012 |                       cryptography.hazmat.primitives.serialization.base
import time:       814 |        814 |                         cryptography.hazmat.primitives.asymmetric
import time:       806 |        806 |                           cryptography.hazmat.primitives.asymmetric.utils
import time:      1176 |       1981 |                         cryptography.hazmat.primitives.asymmetric.dsa
import time:      1168 |       1168 |                           cryptography.hazmat._oid
import time:      1883 |       3050 |                         cryptography.hazmat.primitives.asymmetric.ec
import time:      1216 |       1216 |                         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       915 |        915 |                           cryptography.hazmat.primitives._asymmetric
import time:      1186 |       1186 |                           cryptography.hazmat.primitives.asymmetric.rsa
import time:      1387 |       3487 |                         cryptography.hazmat.primitives.asymmetric.padding
import time:       735 |        735 |                           cryptography.hazmat.primitives._cipheralgorithm
import time:       942 |        942 |                                     cryptography.hazmat.decrepit
import time:       961 |       1903 |                                   cryptography.hazmat.decrepit.ciphers
import time:      1585 |       3488 |                                 cryptography.hazmat.decrepit.ciphers.algorithms
import time:      1361 |       4848 |                               cryptography.hazmat.primitives.ciphers.algorithms
import time:      1110 |       5958 |                             cryptography.hazmat.primitives.ciphers.modes
import time:      1365 |       7322 |                           cryptography.hazmat.primitives.ciphers.base
